model,img_size,param_count_m,gmacs,ms_batch1_cpu
test_vit,160,0.37,0.04,1.405
test_byobnet,160,0.46,0.03,1.456
test_efficientnet,160,0.36,0.06,1.547
lcnet_035,224,1.64,0.03,2.604
resnet10t,176,5.44,0.7,2.811
tf_mobilenetv3_small_minimal_100,224,2.04,0.06,2.817
lcnet_050,224,1.88,0.05,2.912
mobilenetv3_small_050,224,1.59,0.03,3.207
tinynet_e,106,2.04,0.03,3.341
lcnet_075,224,2.36,0.1,3.457
lcnet_150,224,4.5,0.34,3.544
lcnet_100,224,2.95,0.16,3.777
mobilenetv2_035,224,1.68,0.07,3.783
mobilenetv3_small_075,224,2.04,0.05,3.937
levit_128s,224,7.78,0.31,3.943
mobilenetv3_small_100,224,2.54,0.06,3.991
mobilenetv1_100,224,4.23,0.58,4.013
mobilenetv4_conv_small,224,3.77,0.19,4.038
regnetx_002,224,2.68,0.2,4.047
tf_mobilenetv3_small_100,224,2.54,0.06,4.106
tf_mobilenetv3_small_075,224,2.04,0.05,4.157
mobilenetv2_050,224,1.97,0.1,4.205
mobilenetv1_125,224,6.27,0.89,4.215
mobilenetv1_100h,224,5.28,0.63,4.292
mnasnet_050,224,2.22,0.11,4.515
resnet18,160,11.69,0.93,4.568
ese_vovnet19b_slim,224,3.17,1.69,4.584
mobilenetv4_conv_small,256,3.77,0.25,4.62
efficientvit_b0,224,3.41,0.1,4.748
mobilenetv1_125,256,6.27,1.16,4.827
mnasnet_small,224,2.03,0.07,4.879
tinynet_d,152,2.34,0.05,4.976
mobilenetv2_075,224,2.64,0.22,5.015
mobilenetv1_100h,256,5.28,0.82,5.077
mnasnet_075,224,3.17,0.23,5.078
levit_conv_128s,224,7.78,0.31,5.111
mobilenetv1_100,256,4.23,0.76,5.146
hardcorenas_a,224,5.26,0.23,5.172
mobilenetv3_large_075,224,3.99,0.16,5.234
levit_192,224,10.95,0.66,5.237
ese_vovnet19b_slim_dw,224,1.9,0.4,5.24
levit_128,224,9.21,0.41,5.285
mobilenetv2_100,224,3.5,0.31,5.299
mnasnet_100,224,4.38,0.33,5.415
pit_ti_distilled_224,224,5.1,0.71,5.47
deit_tiny_patch16_224,224,5.72,1.26,5.484
vit_tiny_patch16_224,224,5.72,1.26,5.49
semnasnet_050,224,2.08,0.11,5.5
efficientnet_lite0,224,4.65,0.4,5.499
gernet_s,224,8.17,0.75,5.52
vit_tiny_r_s16_p8_224,224,6.34,0.44,5.53
resnet10t,224,5.44,1.1,5.555
deit_tiny_distilled_patch16_224,224,5.91,1.27,5.579
hgnetv2_b0,224,6.0,0.33,5.598
mobilenet_edgetpu_v2_xs,224,4.46,0.7,5.66
mobilenetv3_large_100,224,5.48,0.23,5.659
mobilenetv3_rw,224,5.48,0.23,5.676
tf_mobilenetv3_large_minimal_100,224,3.92,0.22,5.73
mixer_s32_224,224,19.1,1.0,5.836
cs3darknet_focus_s,256,3.27,0.69,5.944
pit_ti_224,224,4.85,0.7,5.957
mobilenetv2_140,224,6.11,0.6,6.112
mobilenet_edgetpu_100,224,4.09,1.0,6.215
tf_mobilenetv3_large_075,224,3.99,0.16,6.256
cs3darknet_s,256,3.28,0.72,6.28
hardcorenas_b,224,5.18,0.26,6.306
vit_small_patch32_224,224,22.88,1.15,6.31
ese_vovnet19b_dw,224,6.54,1.34,6.316
regnety_002,224,3.16,0.2,6.345
edgenext_xx_small,256,1.33,0.26,6.364
dla46_c,224,1.3,0.58,6.425
resnet14t,176,10.08,1.07,6.425
hardcorenas_c,224,5.52,0.28,6.51
regnetx_004_tv,224,5.5,0.42,6.634
dla46x_c,224,1.07,0.54,6.643
spnasnet_100,224,4.42,0.35,6.647
tf_mobilenetv3_large_100,224,5.48,0.23,6.67
mobilenet_edgetpu_v2_s,224,5.99,1.21,6.773
fbnetc_100,224,5.57,0.4,6.78
semnasnet_075,224,2.91,0.23,6.784
mnasnet_140,224,7.12,0.6,6.794
semnasnet_100,224,3.89,0.32,6.821
gmixer_12_224,224,12.7,2.67,6.826
gmlp_ti16_224,224,5.87,1.34,6.832
efficientvit_m1,224,2.98,0.17,6.91
tf_efficientnet_lite0,224,4.65,0.4,6.978
efficientnet_es,224,5.44,1.81,6.979
pit_xs_224,224,10.62,1.4,7.033
tf_efficientnet_es,224,5.44,1.81,7.034
efficientnet_es_pruned,224,5.44,1.81,7.041
resnet14t,224,10.08,1.69,7.051
mobilenetv2_110d,224,4.52,0.45,7.057
levit_conv_128,224,9.21,0.41,7.072
pit_xs_distilled_224,224,11.0,1.41,7.077
mobilevitv2_050,256,1.37,0.48,7.084
efficientnet_lite1,240,5.42,0.62,7.122
regnetx_004,224,5.16,0.4,7.169
levit_conv_192,224,10.95,0.66,7.189
levit_256,224,18.89,1.13,7.255
efficientvit_m2,224,4.19,0.2,7.274
regnetx_006,224,6.2,0.61,7.341
repghostnet_058,224,2.55,0.07,7.387
efficientvit_m0,224,2.35,0.08,7.393
semnasnet_140,224,6.11,0.6,7.404
ghostnet_050,224,2.59,0.05,7.43
regnetx_008,224,7.26,0.81,7.47
tinynet_c,184,2.46,0.11,7.564
ese_vovnet19b_dw,288,6.54,2.22,7.612
hgnetv2_b1,224,6.34,0.49,7.633
edgenext_xx_small,288,1.33,0.33,7.652
repghostnet_050,224,2.31,0.05,7.653
mobilenet_edgetpu_v2_m,224,8.46,1.85,7.721
convnext_atto,224,3.7,0.55,7.736
repghostnet_080,224,3.28,0.1,7.74
mobileone_s1,224,4.83,0.86,7.761
edgenext_x_small,256,2.34,0.54,7.875
resnet18,224,11.69,1.82,7.907
resnext26ts,256,10.3,2.43,7.918
dla60x_c,224,1.32,0.59,8.107
ghostnet_100,224,5.18,0.15,8.117
convnextv2_atto,224,3.71,0.55,8.178
repghostnet_100,224,4.07,0.15,8.18
hgnetv2_b0,288,6.0,0.54,8.186
efficientnet_lite2,260,6.09,0.89,8.254
resnet34,160,21.8,1.87,8.275
hardcorenas_f,224,8.2,0.35,8.317
convnext_atto_ols,224,3.7,0.58,8.384
convnext_femto_ols,224,5.23,0.82,8.407
resnet18d,224,11.71,2.06,8.429
edgenext_x_small,288,2.34,0.68,8.444
repghostnet_111,224,4.54,0.18,8.447
resnetblur18,224,11.69,2.34,8.492
mobilenet_edgetpu_v2_m,256,8.46,2.42,8.501
hardcorenas_e,224,8.07,0.35,8.518
vit_xsmall_patch16_clip_224,224,8.28,1.79,8.551
eca_resnext26ts,256,10.3,2.43,8.647
mobilenet_edgetpu_v2_l,224,10.92,2.55,8.663
regnety_008,224,6.26,0.81,8.67
mobilenetv2_120d,224,5.83,0.69,8.67
mobilenetv4_conv_medium,224,9.72,0.84,8.671
visformer_tiny,224,10.32,1.27,8.681
efficientvit_m3,224,6.9,0.27,8.693
mobileone_s2,224,7.88,1.34,8.776
tf_efficientnet_lite1,240,5.42,0.62,8.86
convnext_femto,224,5.22,0.79,8.869
mobilevitv2_075,256,2.87,1.05,8.872
ecaresnext50t_32x4d,224,15.41,2.7,8.883
resmlp_12_224,224,15.35,3.01,8.9
repghostnet_130,224,5.48,0.25,8.942
lambda_resnet26t,256,10.96,3.02,8.955
ecaresnext26t_32x4d,224,15.41,2.7,8.957
regnety_008_tv,224,6.43,0.84,8.961
resnext26ts,288,10.3,3.07,8.965
resnet18,288,11.69,3.01,8.973
rexnetr_100,224,4.88,0.43,9.058
poolformerv2_s12,224,11.89,1.83,9.069
hardcorenas_d,224,7.5,0.3,9.11
mobilenetv4_conv_medium,256,9.72,1.1,9.116
edgenext_small,256,5.59,1.26,9.125
levit_conv_256,224,18.89,1.13,9.143
seresnet18,224,11.78,1.82,9.142
tinynet_b,188,3.73,0.21,9.162
regnety_004,224,4.34,0.41,9.177
seresnext26ts,256,10.39,2.43,9.19
poolformer_s12,224,11.92,1.82,9.211
rexnet_100,224,4.8,0.41,9.221
resnest14d,224,10.61,2.76,9.247
botnet26t_256,256,12.49,3.32,9.254
legacy_seresnet18,224,11.78,1.82,9.264
ghostnet_130,224,7.36,0.24,9.278
eva02_tiny_patch14_224,224,5.5,1.7,9.293
legacy_seresnext26_32x4d,224,16.79,2.49,9.305
gernet_m,224,21.14,3.02,9.385
efficientvit_b1,256,9.1,0.69,9.409
convnext_atto,288,3.7,0.91,9.416
eca_botnext26ts_256,256,10.59,2.46,9.42
efficientvit_m4,224,8.8,0.3,9.45
rexnetr_130,224,7.61,0.68,9.462
hgnetv2_b2,224,11.22,1.15,9.475
efficientvit_b1,224,9.1,0.53,9.526
repghostnet_150,224,6.58,0.32,9.528
mixer_s16_224,224,18.53,3.79,9.565
fastvit_t8,256,4.03,0.7,9.598
resnet18d,288,11.71,3.41,9.6
efficientformer_l1,224,12.29,1.3,9.642
mobileone_s3,224,10.17,1.94,9.659
regnetx_016,224,9.19,1.62,9.664
mobilenetv4_conv_aa_medium,256,9.72,1.58,9.698
regnety_006,224,6.06,0.61,9.716
seresnext26d_32x4d,224,16.81,2.73,9.767
mobilenetv4_conv_blur_medium,224,9.72,1.22,9.801
eca_resnext26ts,288,10.3,3.07,9.834
efficientnet_b0,256,5.29,0.52,9.837
hgnet_tiny,224,14.74,4.54,9.854
seresnext26t_32x4d,224,16.81,2.7,9.901
